cluster_a  cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       34        170       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        171       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        172       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        173       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        174       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        175       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        176       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        177       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        178       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        179       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        180       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        181       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        182       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        183       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        184       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        185       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        186       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        187       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        188       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        189       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        190       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        191       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        192       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        193       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        194       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        195       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        196       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        197       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        198       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        199       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        200       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        201       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        202       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        203       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34        204       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
